code,en
settings_key:title_product_image_clipping,Product Images: Clipping Method
settings_key:title_product_image_ratio,Product Images: Aspect Ratio
settings_key:title_product_image_watermark,Product Images: Watermark
settings_key:title_regional_settings_screen_enabled,Regional Settings Screen
settings_key:title_register_guests,Register Guests
settings_key:title_round_amounts,Round Amounts
settings_key:title_security_blacklist,Blacklist
settings_key:title_security_bot_trap,Bad Bot Trap
settings_key:title_security_http_post,HTTP POST Protection
settings_key:title_security_session_hijacking,Session Hijacking Protection
settings_key:title_security_xss,Cross-site Scripting (XSS) Detection
settings_key:title_seo_links_enabled,SEO Links Enabled
settings_key:title_seo_links_language_prefix,SEO Links Language Prefix
settings_key:title_set_currency_by_language,Set Currency by Language
settings_key:title_store_country_code,Store Country
settings_key:title_store_currency_code,Store Currency
settings_key:title_store_email,Store Email
settings_key:title_store_language_code,Store Language
settings_key:title_store_length_class,Store Length Class
settings_key:title_store_name,Store Name
settings_key:title_store_phone,Store Phone Number
settings_key:title_store_postal_address,Store Postal Address
settings_key:title_store_tax_id,Store Tax ID
settings_key:title_store_timezone,Store Time Zone
settings_key:title_store_visiting_address,Store Visiting Address
settings_key:title_store_weight_class,Store Weight Class
settings_key:title_store_zone_code,Store Zone
settings_key:title_webmail_link,Webmail Link
sm_zone_weight:description_geo_zone,Geo zone to which the cost applies.
sm_zone_weight:description_handling_fee,Enter your handling fee for the shipment.
sm_zone_weight:description_icon,Web path of the icon to be displayed.
sm_zone_weight:description_method,The calculation method that should to be used for the rate tables where a condition is met for shipping weight.
sm_zone_weight:description_priority,Process this module by the given priority value.
sm_zone_weight:description_status,
sm_zone_weight:description_tax_class,The tax class for the shipping cost.
sm_zone_weight:description_weight_class,The weight class for the rate table.
sm_zone_weight:description_weight_rate_table,Ascending rate table of the shipping cost. The format must be weight:cost;weight:cost;.. (E.g. 5:8.95;10:15.95;..)
sm_zone_weight:title_geo_zone,Geo Zone
sm_zone_weight:title_handling_fee,Handling Fee
sm_zone_weight:title_icon,Icon
sm_zone_weight:title_method,Method
sm_zone_weight:title_non_matched_zones,Non-matched Zones
sm_zone_weight:title_option_name_zone_x,
sm_zone_weight:title_priority,Priority
sm_zone_weight:title_status,Status
sm_zone_weight:title_tax_class,Tax Class
sm_zone_weight:title_weight_class,Weight Class
sm_zone_weight:title_weight_rate_table,Weight Rate Table
sm_zone_weight:title_zone,Zone
sm_zone_weight:title_zone_based_shipping,Zone Based Shipping
sticker_new,New
sticker_sale,Sale
success_account_has_been_created,A customer account has been created that will let you keep track of orders.
success_changes_saved,Changes saved
success_copied_d_products,Copied %d products
success_currency_rates_updated,Currency rates updated
success_customers_imported,Customers successfully imported.
success_deleted_d_products,Deleted %d products
success_duplicated_d_products,Duplicated %d products
success_d_translations_imported,"Inserted %d new translations, updated %d translations"
success_logged_in_as_user,You are now logged in as %firstname %lastname.
success_moved_d_categories,Moved %d categories
success_moved_d_products,Moved %d products
success_now_logged_in_as,You are now logged in as %username
success_password_reset,A new password has been sent to your email address.
success_post_deleted,Post deleted
success_product_added_to_cart,Your product was successfully added to the cart.
success_translated_deleted,Translation was successfully deleted
success_unmounted_d_categories,Unmounted %d categories
success_unmounted_d_products,Unmounted %d products
success_your_customer_account_has_been_created,Your customer account has been created.
success_your_email_was_sent,Your email has successfully been sent
terms_cookies_acceptance,"We rely on cookies to provide our services. By using our services, you agree to our use of cookies."
text_add,Add
text_added_d_new_translations,Added %d new translations
text_already_logged_in,You are already logged in
text_also_set_as_database_default,Also set as database default (when new tables are created)
text_are_you_sure,Are you sure?
text_by,by
text_cheapest_shipping_from_price,Cheapest shipping from %price
text_default,default
text_deleted_d_translations,Deleted %d translations
text_delete_translations_not_present,Delete translations no longer present in files
text_dock_in_customer_service,Dock in customer service
text_dock_in_dock_menu,Dock in site menu
text_dock_in_information,Dock in information
text_dock_in_menu,Dock in top menu
text_dock_in_tree,Dock in category tree
text_found_d_translations,Found %d translations in %d files
text_html_enabled,HTML enabled
text_in,in
text_inlcude_modules,Include modules
text_insert_before,Insert before
text_insert_new_categories,Insert new categories
text_insert_new_entries,Insert new entries
text_insert_new_products,Insert new products
text_is_archived,Is archived
text_is_sale,Is sale
text_items,item(s)
text_leave_blank_for_all_languages,Leave blank for all languages
text_logout,Logout
text_long_execution_time,We apologize for the inconvenience that the server seems temporary overloaded right now.
text_make_changes_necessary_to_install,Make any changes necessary to continue installation
text_move_down,Move down
text_move_up,Move up
text_new_customers_click_here,New customers click here
text_notify_customer,Notify customer
text_not_enough_products_in_stock,There are not enough products in stock.
text_not_enough_products_in_stock_for_options,There are not enough products for the selected options.
text_not_enough_products_option_in_stock,There are not enough products of the selected option in stock.
text_no_entries_found_in_database,No entries found in database
text_no_entries_in_database,There are no entries in the database.
text_no_product_description,There is no description for this product yet.
text_no_template_settings,There are no settings available for this template.
text_only_untranslated,Only untranslated
text_order_status_changed_to_s,Order status changed to %s
text_overwrite_existing_entries,Overwrite existing entries
text_product_cannot_be_purchased_until_s,The product cannot be purchased until %s
text_product_can_no_longer_be_purchased,The product can no longer be purchased
text_product_is_orderable,Product is orderable
text_product_not_available_for_purchase,The product is not available for purchase
text_remove,Remove
text_remove_image,Remove image
text_search,Search
text_search_phrase_or_keyword,Search phrase or keyword
text_separate_added_cart_items,Separate added cart items
text_set_by_product,Set by product
text_shared_by_pages,Shared by %d pages
text_share_on_s,Share on %s
text_tax_rate_rule_both_of_the_above,Applies to both of above
text_tax_rate_rule_companies,Applies to companies
text_tax_rate_rule_customers_without_tax_id,Applies to customers without a tax ID
text_tax_rate_rule_customers_with_tax_id,Applies to customers with a tax ID
text_tax_rate_rule_individuals,Applies to individuals
text_update,Update
text_updated_d_translations,Updated %d translations
text_update_empty_translations,Update empty translations if applicable
text_user_input,User input
text_with_selected,With selected
title_account,Account
title_active,Active
title_add,Add
title_addons,Add-ons
title_address,Address
title_address1,Address 1
title_address2,Address 2
title_address_format,Address Format
title_add_combination,Add Combination
title_add_comment,Add Comment
title_add_custom_item,Add Custom Item
title_add_group,Add Group Value
title_add_new_branch,Add New Branch
title_add_new_category,Add New Category
title_add_new_country,Add New Country
title_add_new_currency,Add New Currency
title_add_new_customer,Add New Customer
title_add_new_geo_zone,Add New Geo Zone
title_add_new_language,Add New Language
title_add_new_manufacturer,Add New Manufacturer
title_add_new_product,Add New Product
title_add_new_quantity_unit,Add New Quantity Unit
title_add_new_slide,Add New Slide
title_add_new_store,Add New Store
title_add_new_supplier,Add New Supplier
title_add_new_tax_class,Add New Tax Class
title_add_new_tax_rate,Add New Tax Rate
title_add_new_unit,Add New Unit
title_add_product,Add Product
title_add_to_cart,Add To Cart
title_add_value,Add Value
title_admin_panel,Admin Panel
title_admin_template,Admin Template
title_aliases,Aliases
title_all_products,All Products
title_all_scripts,All Scripts
title_all_zones,All Zones
title_alphabetical,Alphabetical
title_also_purchased_products,Also Purchased Products
title_amount,Amount
title_another_option,Another Option
title_appearence,Appearence
title_archived,Archived
title_attributes,Attributes
title_author,Author
title_auto,Auto
title_average_order_amount,Average Order Amount
title_back,Back
title_background_jobs,Background Jobs
title_blocked_until,Blocked Until
title_calculate,Calculate
title_campaigns,Campaigns
title_cancel,Cancel
title_captcha,CAPTCHA
title_caption,Caption
title_cart,Cart
title_catalog,Catalog
title_catalog_template,Catalog Template
title_categories,Categories
title_change,Change
title_charset,Charset
title_checkout,Checkout
title_city,City
title_code,Code
title_collation,Collation
title_color,Color
title_columns,Columns
title_comments,Comments
title_company,Company
title_confirm_new_password,Confirm New Password
title_confirm_order,Confirm Order
title_confirm_password,Confirm Password
title_contact,Contact
title_contact_us,Contact Us
title_content,Content
title_convert,Convert
title_copy,Copy
title_copy_billing_address,Copy Billing Address
title_countries,Countries
title_country,Country
title_create_account,Create Account
title_create_new_delivery_status,Create New Delivery Status
title_create_new_group,Create New Group
title_create_new_option_group,Create New Option Group
title_create_new_order,Create New Order
title_create_new_order_status,Create New Order Status
title_create_new_page,Create New Page
title_create_new_pages,Create New Page
title_create_new_sold_out_status,Create New Sold Out Status
title_create_new_status,Create New Status
title_create_new_user,Create New User
title_csv_file,CSV File
title_csv_import_export,CSV Import/Export
title_currencies,Currencies
title_currency,Currency
title_currency_code,Currency Code
title_currency_value,Currency Value
title_customer,Customer
title_customers,Customers
title_customer_details,Customer Details
title_customer_information,Customer Information
title_customer_modules,Customer Modules
title_customer_name,Customer Name
title_customer_service,Customer Service
title_customer_type,Customer Type
title_data,Data
title_database_manager,Database Manager
title_database_parse_time,Database Parse Time
title_database_queries,Database Queries
title_database_tables,Database Tables
title_date,Date
title_date_created,Date Created
title_date_format,Date Format
title_date_period,Date Period
title_date_registered,Date Registered
title_date_updated,Date Updated
title_date_valid_from,Date Valid From
title_date_valid_to,Date Valid To
title_decimals,Decimals
title_decimal_point,Decimal Point
title_default,Default
title_default_category,Default Category
title_default_currency,Default Currency
title_default_language,Default Language
title_delete,Delete
title_delimiter,Delimiter
title_delivery_status,Delivery Status
title_delivery_statuses,Delivery Statuses
title_description,Description
title_desired_password,Desired Password
title_details,Details
title_developed_by,Developed by
title_developer,Developer
title_different_shipping_address,Different Shipping Address
title_dimensions,Dimensions
title_disable,Disable
title_disabled,Disabled
title_discussions,Discussions
title_display_prices,Display Prices
title_dock,Dock
title_domestic_name,Domestic Name
title_download,Download
title_duplicate,Duplicate
title_edit,Edit
title_edit_account,Edit Account
title_edit_branch,Edit Branch
title_edit_category,Edit Category
title_edit_country,Edit Country
title_edit_currency,Edit Currency
title_edit_customer,Edit Customer
title_edit_delivery_status,Edit Delivery Status
title_edit_geo_zone,Edit Geo Zone
title_edit_language,Edit Language
title_edit_manufacturer,Edit Manufacturer
title_edit_module,Edit Module
title_edit_option_group,Edit Option Group
title_edit_order,Edit Order
title_edit_order_status,Edit Order Status
title_edit_page,Edit Page
title_edit_product,Edit Product
title_edit_product_group,Edit Product Group
title_edit_quantity_unit,Edit Quantity Unit
title_edit_slide,Edit Slide
title_edit_sold_out_status,Edit Sold Out Status
title_edit_store,Edit Store
title_edit_supplier,Edit Supplier
title_edit_tax_class,Edit Tax Class
title_edit_tax_rate,Edit Tax Rate
title_edit_translations,Edit Translations
title_edit_user,Edit User
title_email,Email
title_email_address,Email Address
title_email_message,Email Message
title_empty,Empty
title_enable,Enable
title_enabled,Enabled
title_enclosure,Enclosure
title_end_date,End Date
title_escape_character,Escape Character
title_example,Example
title_excluding_tax,Excluding Tax
title_excl_tax,Excl. Tax
title_expires,Expires
title_export,Export
title_export_to_csv,Export To CSV
title_external_link,External Link
title_false,False
title_file,File
title_filter,Filter
title_filter_now,Filter
title_find,Find
title_firstname,First Name
title_fixed_header,Fixed Header
title_force_currency_code,Force Currency Code
title_free_shipping,Free Shipping
title_function,Function
title_general,General
title_geo_zone,Geo Zone
title_geo_zones,Geo Zones
title_geo_zone_limitation,Geo Zone Limitation
title_get_address,Get Address
title_go,Go
title_google_taxonomy_id,Google Taxonomy ID
title_grand_total,Grand Total
title_group,Group
title_gtin,GTIN
title_guest,Guest
title_guests,Guests
title_h1_title,H1 Title
title_head_title,Head Title
title_help,Help
title_hidden,Hidden
title_home,Home
title_icon,Icon
title_id,ID
title_image,Image
title_import,Import
title_import_from_csv,Import From CSV
title_import_to_csv,Import From CSV
title_inactive,Inactive
title_included_files,Included Files
title_including_tax,Including Tax
title_incl_tax,Incl. Tax
title_information,Information
title_insert_,Insert
title_install,Install
title_install_module,Install Module
title_in_stock,In Stock
title_item,Item
title_item_name,Item Name
title_job_modules,Job Modules
title_key,Key
title_keywords,Keywords
title_language,Language
title_languages,Languages
title_lastname,Last Name
title_last_host,Last Host
title_last_ip,Last IP
title_last_login,Last Login
title_latest_addons,Latest Add-ons
title_latest_products,Latest Products
title_line_ending,Line Ending
title_link,Link
title_list_of_subscribers,List of Subscribers
title_list_style,List Style
title_login,Login
title_logotype,Logotype
title_logout,Logout
title_lost_password,Lost Password
title_manufacturer,Manufacturer
title_manufacturers,Manufacturers
title_map_image,Map Image
title_map_link,Map Link
title_memory_limit,Memory Limit
title_memory_peak,Memory Peak
title_message,Message
title_meta_description,Meta Description
title_mobile_phone,Mobile Phone
title_modules,Modules
title_module_id,Module ID
title_month,Month
title_monthly_sales,Monthly Sales
title_more,More
title_most_popular,Most Popular
title_most_recent_forum_topics,Most Recent Forum Topics
title_most_shopping_customers,Most Shopping Customers
title_most_sold_products,Most Sold Products
title_move,Move
title_name,Name
title_new,New
title_newsletter,Newsletter
title_new_combination,New Combination
title_new_geo_zone,Create New Geo Zone
title_new_image,New Image
title_new_password,New Password
title_new_product_group,Create New Product Group
title_next,Next
title_no,No
title_nothing_found,Nothing found
title_notify,Notify
title_number,Number
title_number_of_customers,Number of Customers
title_number_of_products,Number of Products
title_off,Off
title_ok,OK
title_on,On
title_on_sale,On Sale
title_option,Option
title_options,Options
title_options_stock,Options Stock
title_option_groups,Option Groups
title_option_id,Option ID
title_order,Order
title_orderable,Orderable
title_orders,Orders
title_order_action,Order Action
title_order_action_modules,Order Action Modules
title_order_completed,Your order is successfully completed!
title_order_copy,Order Copy
title_order_history,Order History
title_order_id,Order ID
title_order_information,Order Information
title_order_items,Order Items
title_order_status,Order Status
title_order_statuses,Order Statuses
title_order_success,Order Success
title_order_success_modules,Order Success Modules
title_order_summary,Order Summary
title_order_total,Order Total
title_order_total_modules,Order Total Modules
title_output,Output
title_packing_slip,Packing Slip
title_pages,Pages
title_page_capture_time,Page Capture Time
title_page_parse_time,Page Parse Time
title_parent_category,Parent Category
title_password,Password
title_payment,Payment
title_payment_address,Payment Address
title_payment_due,Payment Due
title_payment_fees,Payment Fees
title_payment_information,Payment Information
title_payment_method,Payment Method
title_payment_modules,Payment Modules
title_payment_option,Payment Option
title_phone,Phone
title_phones,Phones
title_phone_country_code,Phone Country Code
title_popularity,Popularity
title_postcode,Postcode
title_postcode_format,Postcode Format
title_prefix,Prefix
title_previous,Previous
title_price,Price
title_prices,Prices
title_price_adjust,Price Adjust
title_price_incl_tax,Price Incl. Tax
title_price_operator,Price Operator
title_priority,Priority
title_product,Product
title_products,Products
title_product_groups,Product Groups
title_product_images,Product Images
title_purchase_price,Purchase Price
title_qty,Qty
title_quantity,Quantity
title_quantity Unit,Quantity Unit
title_quantity_units,Quantity Units
title_range,Range
title_rate,Rate
title_raw_date_format,Raw Date Format
title_raw_time_format,Raw Time Format
title_recently_viewed,Recently Viewed
title_redirecting,Redirecting
title_reference,Reference
title_regional_settings,Regional Settings
title_remember_me,Remember Me
title_remove,Remove
title_reports,Reports
title_required,Required
title_root,Root
title_rows,Rows
title_rule,Rule
title_run_now,Run Now
title_sales,Sales
title_save,Save
title_save_changes,Save Changes
title_scan,Scan
title_scan_files,Scan Files
title_scan_files_for_translations,Scan Files For Translations
title_screen,Screen
title_search_results,Search Results
title_search_results_for_s,Search Results for &quot;%s&quot;
title_search_translations,Search Translations
title_select,Select
title_selected,Selected
title_send,Send
title_send_email_order_copy,Send email order copy
title_settings,Settings
title_shipping,Shipping
title_shipping_address,Shipping Address
title_shipping_fees,Shipping Fees
title_shipping_information,Shipping Information
title_shipping_modules,Shipping Modules
title_shipping_option,Shipping Option
title_shipping_tracking_id,Shipping Tracking ID
title_shipping_weight,Shipping Weight
title_short_description,Short Description
title_similar_products,Similar Products
title_sku,SKU
title_slides,Slides
title_sold_out,Sold Out
title_sold_out_status,Sold Out Status
title_sold_out_statuses,Sold Out Statuses
title_sort,Sort
title_start_date,Start Date
title_statistics,Statistics
title_status,Status
title_stock_status,Stock Status
title_storage_encoding,Storage Encoding
title_stores,Stores
title_store_currency,Store Currency
title_store_hours,Store hours
title_store_language,Store Language
title_subject,Subject
title_subscribe,Subscribe
title_subtotal,Subtotal
title_suffix,Suffix
title_sum,Sum
title_supplier,Supplier
title_suppliers,Suppliers
title_syntax,Syntax
title_system_locale,System Locale
title_s_days,%s days
title_s_months,%s months
title_taric,TARIC
title_tax,Tax
title_tax_class,Tax Class
title_tax_classes,Tax Classes
title_tax_classs,Tax Classes
title_tax_id,Tax ID
title_tax_id_format,Tax ID Format
title_tax_rates,Tax Rates
title_template,Template
title_template_settings,Template Settings
title_thousands_sep,Thousands Separator
title_time_format,Time Format
title_title,Title
title_total,Total
title_total_amount,Total Amount
title_total_sales,Total Sales
title_tracking_id,Tracking ID
title_transaction_id,Transaction ID
title_transaction_number,Transaction Number
title_translations,Translations
title_true,True
title_type,Type
title_uncompleted,Uncompleted
title_uninstall,Uninstall
title_unit_cost,Unit Cost
title_unit_price,Unit Price
title_unmount,Unmount
title_unprocessed,Unprocessed
title_update,Update
title_update_rates,Update Rates
title_upload,Upload
title_upload_images,Upload Images
title_upload_new_vqmod,Upload a New vQmod
title_username,Username
title_users,Users
title_valid_from,Valid From
title_valid_to,Valid To
title_value,Value
title_values,Values
title_vat_registration_id,VAT Registration ID
title_version,Version
title_view_order,View Order
title_view_printable_order_copy,View printable order copy
title_vqmods,vQmods
title_webmail,Webmail
title_weight,Weight
title_width_height_length,Width x Height x Length
title_yes,Yes
title_zone,Zone
title_zones,Zones
title_zone_state_province,Zone/State/Province
tooltip_price_incl_tax,This field helps you calculate net price based on the store region tax. All prices input to database are always excluding tax.
warning_admin_folder_not_protected,Warning: Your admin folder is not .htaccess protected
warning_backup_translations,Warning: Always backup your translations before continuing.
warning_install_folder_exists,Warning: The installation directory is still available and should be deleted.
warning_mounting_points_will_be_replaced,Warning: All current mounting points will be replaced.
warning_must_login_page,You must be logged in to view the page.
warning_unsaved_changes,"There are unsaved changes, do you wish to continue?"
warning_your_customer_information_unsaved,Your customer information contains unsaved changes.
